id	text	hook	duration_seconds	word_count	creator	hook_type	script_archetype	parasocial_levers	quality_score
1	ladies do you ever get like soaked just from a man's voice like if he sends you a little voice no and it's just especially if it's in the morning and he has that low rumble to his voice oh my god sir I think you just made my ears pregnant	ladies do you ever get like soaked just from a man's voice	15	50	peechi	question	thirst_commentary	relatability|direct_address	0.9
2	This is how I look most of the time I am messaging you on the blue and white. I like to go commando in the robe, and on one screen I have our chats, and sometimes the other, a video game. Going commando underneath this is an important part, because sometimes I like to give the pink taco a little... to the conversation. A little BTS for you guys.	This is how I look most of the time I	22	69	peechi	bold_statement	thirst_commentary	exclusivity|sexual_tension|direct_address	0.8
3	Love when me and my man have similar hobbies you like gaming I like getting back shots from you while you're gaming and if your friends hear me moan your name through the discord call Congrats squad morale just went up	Love when me and my man have similar hobbies	12	41	peechi	relatable	thirst_commentary	challenge|sexual_tension|direct_address	0.9
4	Do you ever wake up from a really, and I mean really good dream, just as the best part is about to start? And then you're like, fuck, that was a dream? So you try to force yourself back to sleep so you can at least enjoy that really spicy part, but at that point, the illusion's been broken, and now you're just blue-balled.	Do you ever wake up from a really, and I mean really good dream, just as the best part is about to start?	21	64	peechi	question	thirst_commentary	relatability|direct_address	0.8
5	if i want to make a man fall in love with me i will worship his that's why i love using my hands because i can give eye contact and just drool all over it while i talk to him and tell him every single detail about his that i love	if i want to make a man fall in love	16	51	peechi	advice	fantasy_desire	sexual_tension	0.7
6	I just learned that another phrase for a girl with an Audi is mudflap and I just feel that that's not accurately representing her, okay, because she's pink. So what do I call her, you know?	I just learned that another phrase for a girl with	13	36	peechi	bold_statement	thirst_commentary	direct_address	0.7
7	I go hard but I make it look, I go hard but I make it look sexy I'm sexy like I'm Nelly, I'm diving him, I want his bestie Think I'm petty, orthotist	I go hard but I make it look, I go	10	33	peechi	bold_statement	fantasy_desire	sexual_tension	0.7
8	This is a random story time, but, uh, one time my ex blindfolded me and got out some icy hot and he put it on my pink taco because he thought it would feel good. So I'm scared of being blindfolded now.	This is a random story time, but, uh, one time	15	42	peechi	storytime	storytime	sexual_tension|vulnerability	0.8
9	Every time I see a man with some veiny forearms I can't help but picture what it would look like giving me the five-finger necklace and no, I'm not a okay. I'm just manifesting	Every time I see a man with some veiny forearms	11	34	peechi	relatable	thirst_commentary		0.7
10	If I want to make a man obsessed with me when I'm giving him a job, I'll pull away and let my spit trail from my tongue to his... and give him eye contact the whole time. I'm telling you, it drives them fucking crazy.	If I want to make a man obsessed with me	16	45	peechi	advice	fantasy_desire	exclusivity|direct_address	0.8
